state_fips,place_fips,name,state,lat,lng
01,44536,Lowndesboro town,AL,32.276422,-86.610848
01,44608,Loxley town,AL,30.684588,-87.739213
01,44728,Luverne city,AL,31.718941,-86.269082
01,44800,Lynn town,AL,34.057591,-87.548643
01,45040,McCalla CDP,AL,33.303112,-87.02666
01,45208,McDonald Chapel CDP,AL,33.518576,-86.938462
01,45316,Macedonia CDP,AL,33.403139,-88.239221
01,45472,McIntosh town,AL,31.264957,-88.028369
01,45496,McKenzie town,AL,31.54647,-86.725954
01,45640,McMullen town,AL,33.1481,-88.175749
01,45784,Madison city,AL,34.710533,-86.76228
01,45904,Madrid town,AL,31.035635,-85.399205
01,46072,Magnolia Springs town,AL,30.40341,-87.775895
01,46192,Malcolm CDP,AL,31.198806,-88.000624
01,46264,Malvern town,AL,31.143698,-85.522973
01,46504,Maplesville town,AL,32.784391,-86.879694
01,46600,Marbury CDP,AL,32.672984,-86.463728
01,46696,Margaret town,AL,33.672861,-86.463942
01,46768,Marion city,AL,32.631968,-87.317333
01,47728,Maytown town,AL,33.549954,-87.000043
01,47740,Meadowbrook CDP,AL,33.395235,-86.704373
01,47848,Megargel CDP,AL,31.378141,-87.430649
01,48052,Memphis town,AL,33.137044,-88.305942
01,48064,Mentone town,AL,34.563209,-85.589704
01,48112,Meridianville CDP,AL,34.874913,-86.580559
01,48376,Midfield city,AL,33.455272,-86.922414
01,48400,Midland City town,AL,31.315675,-85.493674
01,48424,Midway town,AL,32.076373,-85.524417
01,48616,Mignon CDP,AL,33.18658,-86.256886
01,48712,Millbrook city,AL,32.501474,-86.373914
01,48784,Millerville CDP,AL,33.191458,-85.929828
01,48808,Millport town,AL,33.555935,-88.082382
01,48832,Millry town,AL,31.621199,-88.327956
01,49072,Minor CDP,AL,33.539011,-86.940073
01,50000,Mobile city,AL,30.668426,-88.100226
01,50192,Monroeville city,AL,31.516223,-87.327714
01,50312,Montevallo city,AL,33.126053,-86.847702
01,51000,Montgomery city,AL,32.348503,-86.267307
01,51096,Moody city,AL,33.603429,-86.493786
01,51216,Moores Mill CDP,AL,34.852143,-86.52038
01,51264,Mooresville town,AL,34.625883,-86.880025
01,51456,Morris town,AL,33.746223,-86.800755
01,51469,Morrison Crossroads CDP,AL,33.417996,-85.488284
01,51520,Mosses town,AL,32.188758,-86.679435
01,51600,Moulton city,AL,34.488302,-87.282707
01,51648,Moundville town,AL,32.996542,-87.627545
01,51696,Mountain Brook city,AL,33.491488,-86.73447
01,52320,Mount Olive CDP,AL,33.078454,-86.13304
01,52344,Mount Olive CDP,AL,33.669286,-86.87549
01,52608,Mount Vernon town,AL,31.087727,-88.013166
01,52680,Movico CDP,AL,31.062763,-88.026619
01,52776,Mulga town,AL,33.556313,-86.972304
01,52848,Munford town,AL,33.527644,-85.953809
01,53016,Muscle Shoals city,AL,34.742657,-87.633767
01,53112,Myrtlewood town,AL,32.252088,-87.949261
01,53208,Nanafalia CDP,AL,32.111393,-87.995757
01,53232,Nances Creek CDP,AL,33.855501,-85.669104
01,53256,Napier Field town,AL,31.314925,-85.454929
01,53376,Natural Bridge town,AL,34.090354,-87.601409
01,53400,Nauvoo town,AL,33.984386,-87.48544
01,53448,Nectar town,AL,33.979779,-86.620614
01,53472,Needham town,AL,31.987,-88.336563
01,53784,Newbern town,AL,32.591672,-87.535614
01,53856,New Brockton town,AL,31.37671,-85.919028
01,54168,New Hope city,AL,34.537972,-86.412372
01,54312,New Market CDP,AL,34.892335,-86.425818
01,54432,New Site town,AL,33.026041,-85.784536
01,54480,Newton town,AL,31.341229,-85.588307
01,54582,New Union CDP,AL,34.133682,-86.228002
01,54600,Newville town,AL,31.420604,-85.33669
01,54696,Nixburg CDP,AL,32.855488,-86.100838
01,55044,North Courtland town,AL,34.680023,-87.305717
01,55152,North Johns town,AL,33.367769,-87.100725
01,55200,Northport city,AL,33.257565,-87.596396
01,55440,Notasulga town,AL,32.555409,-85.668577
01,55752,Oak Grove town,AL,33.190359,-86.303727
01,55848,Oak Hill town,AL,31.92162,-87.085234
01,55992,Oakman town,AL,33.714322,-87.388699
01,56400,Odenville city,AL,33.700875,-86.423371
01,56472,Ohatchee town,AL,33.789759,-86.029062
01,57000,Oneonta city,AL,33.947038,-86.489793
01,57024,Onycha town,AL,31.225693,-86.276024
01,57048,Opelika city,AL,32.660739,-85.37889
01,57120,Opp city,AL,31.284375,-86.257442
01,57144,Orange Beach city,AL,30.293987,-87.595371
01,57240,Orrville town,AL,32.306769,-87.245447
01,57384,Our Town CDP,AL,32.842211,-85.967035
01,57504,Owens Cross Roads town,AL,34.585458,-86.455027
01,57576,Oxford city,AL,33.59641,-85.868219
01,57648,Ozark city,AL,31.451615,-85.645035
01,57696,Paint Rock town,AL,34.660934,-86.333952
01,57912,Panola CDP,AL,32.946819,-88.262266
01,58272,Parrish town,AL,33.732321,-87.280127
01,58680,Pea Ridge CDP,AL,33.133805,-86.937949
01,58848,Pelham city,AL,33.32183,-86.742197
01,58896,Pell City city,AL,33.560312,-86.263634
01,58968,Pennington town,AL,32.200612,-88.037572
01,59016,Penton CDP,AL,33.009832,-85.474824
01,59064,Perdido CDP,AL,31.005634,-87.630272
01,59088,Perdido Beach town,AL,30.353879,-87.5048
01,59232,Peterman CDP,AL,31.583669,-87.263042
01,59328,Petrey town,AL,31.85216,-86.204007
01,59472,Phenix City city,AL,32.453709,-85.031019
01,59496,Phil Campbell town,AL,34.351547,-87.707359
01,59592,Pickensville town,AL,33.235782,-88.289443
01,59640,Piedmont city,AL,33.927557,-85.615267
01,59760,Pike Road town,AL,32.273609,-86.118927
